bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
65679,Fri,Oct,296,19,23,9,1,11,1177,1,627,YES,0.6,NO,normal,P3,PC,14,1,NO
65679,Fri,Oct,296,19,23,9,1,12,1178,1,627,YES,0.7,NO,normal,P3,PC,14,1,NO
65679,Fri,Oct,296,19,23,9,1,13,1179,1,627,YES,0.7,NO,normal,P3,PC,14,1,NO
39011,Mon,Jul,195,20,14,1,4,57,113,30,63,NO,0.0,NO,enhancement,P3,All,11,1,NO
39011,Mon,Jul,195,21,14,1,3,50,114,30,63,NO,1.0,NO,enhancement,P3,All,11,1,NO
161830,Tue,Nov,318,21,14,11,1,10,587,1,8,YES,0.0,NO,blocker,P3,PC,8,1,YES
22443,Mon,Aug,231,15,19,5,1,12,14,7,18,NO,0.0,NO,normal,P3,PC,8,1,NO
251712,Wed,Oct,296,14,22,8,1,18,192,66,169,NO,0.0,NO,normal,P3,PC,6,1,NO
38981,Fri,Jul,185,19,4,1,7,103,239,9,692,NO,0.0,NO,normal,P3,PC,4,0,NO
117507,Fri,Jan,13,20,13,11,1,4,470,1,23,YES,0.0,NO,major,P3,PC,7,1,NO
117507,Thu,Jan,19,22,19,4,2,15,840,1,23,NO,7.2,NO,major,P3,PC,7,1,NO
36226,Thu,Apr,100,15,10,1,1,23,193,17,493,NO,0.0,NO,normal,P3,PC,7,1,NO
36226,Wed,Apr,106,18,16,1,1,34,49,17,493,NO,7.2,NO,normal,P3,PC,7,1,NO
36226,Wed,Apr,106,20,16,1,1,12,50,17,493,NO,7.2,NO,normal,P3,PC,7,1,NO
36226,Wed,Dec,344,21,10,1,1,18,281,17,493,NO,12.5,NO,normal,P3,PC,7,1,NO
42032,Wed,Mar,91,21,31,1,4,429,306,36,67,NO,0.0,NO,normal,P3,PC,8,1,NO
172754,Mon,Feb,36,20,5,13,1,2,931,1,23,NO,0.0,NO,normal,P3,PC,11,1,NO
42035,Thu,Sep,261,20,18,1,2,13,262,11,2,NO,0.0,NO,major,P1,All,7,1,YES
42035,Mon,Sep,265,20,22,1,2,18,243,11,2,NO,6.6,NO,major,P1,All,7,1,YES
42035,Mon,Sep,265,20,22,1,1,223,244,11,2,NO,6.6,NO,major,P1,All,7,1,YES
42035,Mon,Sep,265,21,22,1,1,7,263,11,2,NO,6.6,NO,major,P1,All,7,1,YES
42035,Mon,Sep,265,21,22,1,1,1,245,11,2,NO,6.6,NO,major,P1,All,7,1,YES
250177,Mon,Oct,294,16,20,22,2,74,841,11,291,YES,0.0,NO,normal,P3,All,8,1,NO
250171,Fri,Oct,291,20,17,7,1,51,840,8,288,YES,0.0,NO,normal,P3,All,5,1,NO
311936,Thu,May,140,19,20,11,3,31,1073,2,389,NO,0.0,NO,major,P3,PC,9,1,YES
49098,Wed,Feb,45,22,14,13,8,67,947,1,76,NO,0.0,NO,normal,P3,PC,11,1,NO
41962,Mon,Sep,258,20,15,1,2,48,237,9,1,NO,0.0,NO,normal,P2,PC,6,1,NO
41962,Mon,Sep,258,20,15,1,1,17,238,9,1,NO,0.5,NO,normal,P2,PC,6,1,NO
41962,Mon,Sep,258,22,15,1,3,37,239,9,1,NO,1.6,NO,normal,P2,PC,6,1,NO
41962,Mon,Sep,258,22,15,1,2,21,240,9,1,NO,1.7,NO,normal,P2,PC,6,1,NO
41962,Mon,Sep,258,22,15,1,1,2,241,9,1,NO,1.8,NO,normal,P2,PC,6,1,NO
41962,Tue,Sep,259,20,16,1,2,7,260,9,1,NO,4.6,NO,normal,P2,PC,6,1,NO
7845,Wed,May,147,16,26,1,1,40,366,3,641,NO,0.0,NO,normal,P1,PC,11,1,NO
7845,Wed,May,147,16,26,1,1,39,367,3,641,NO,0.5,NO,normal,P1,PC,11,1,NO
7845,Wed,May,147,19,26,1,1,13,456,3,641,NO,2.0,NO,normal,P1,PC,11,1,NO
7845,Wed,May,147,21,26,1,3,90,457,3,641,NO,2.7,NO,normal,P1,PC,11,1,NO
7845,Wed,May,147,22,26,1,5,71,368,3,641,NO,2.8,NO,normal,P1,PC,11,1,NO
305742,Tue,Apr,103,19,13,14,134,713,1061,2,378,NO,0.0,NO,normal,P3,PC,12,1,NO
237724,Fri,Sep,256,17,12,13,7,180,456,1,88,NO,0.0,NO,enhancement,P3,Macintosh,11,1,NO
237724,Fri,Sep,256,18,12,14,1,4,457,1,88,NO,0.5,NO,enhancement,P3,Macintosh,11,1,NO
237724,Fri,Sep,256,18,12,21,1,3,458,1,88,NO,0.6,NO,enhancement,P3,Macintosh,11,1,NO
237724,Wed,Sep,268,15,24,20,1,121,461,1,88,YES,8.2,NO,enhancement,P3,Macintosh,11,1,NO
182547,Fri,May,131,15,11,10,2,36,1015,1,304,NO,0.0,NO,normal,P3,PC,8,1,NO
13651,Thu,Oct,304,23,31,3,2,76,85,1,1,YES,0.0,NO,normal,P5,PC,4,1,YES
4527,Wed,Oct,287,22,13,4,1,9,303,31,530,NO,0.0,NO,normal,P3,All,9,1,NO
261270,Thu,Aug,239,17,27,12,17,335,1102,3,351,YES,0.0,NO,normal,P3,PC,10,1,YES
261270,Thu,Aug,239,17,27,12,1,5,1103,3,351,YES,0.3,NO,normal,P3,PC,10,1,YES
261270,Thu,Aug,239,18,27,12,1,4,1104,3,351,YES,0.6,NO,normal,P3,PC,10,1,YES
261270,Fri,Aug,240,18,28,12,6,53,1108,3,351,YES,4.7,NO,normal,P3,PC,10,1,YES
261270,Mon,Aug,243,14,31,12,2,6,1109,3,351,YES,6.6,NO,normal,P3,PC,10,1,YES
251150,Tue,Jan,13,19,13,12,2,14,268,6,165,NO,0.0,NO,normal,P3,Macintosh,10,1,NO
251150,Thu,Jan,15,19,15,12,1,12,272,6,165,NO,5.6,NO,normal,P3,Macintosh,10,1,NO
138319,Fri,May,125,14,5,12,1,2,764,2,164,NO,0.0,NO,major,P3,PC,10,1,NO
135946,Tue,Apr,101,21,11,7,3,98,902,7,115,NO,0.0,NO,major,P3,PC,5,1,YES
48233,Tue,Dec,343,22,9,1,1,27,233,63,551,NO,0.0,NO,major,P1,Macintosh,5,1,NO
41364,Wed,Feb,54,19,23,1,1,27,351,32,137,NO,0.0,NO,normal,P3,PC,5,1,YES
41364,Tue,Jun,172,17,21,12,3,18,558,32,137,NO,11.5,NO,normal,P3,PC,5,1,YES
3531,Mon,Feb,40,20,9,3,4,10,302,28,50,NO,0.0,YES,normal,P4,All,6,0,YES
3530,Tue,Feb,34,15,3,3,4,10,293,27,22,NO,0.0,YES,normal,P4,All,8,0,NO
3533,Mon,Feb,54,18,23,3,4,10,312,30,2,NO,0.0,NO,normal,P5,All,8,1,YES
3532,Fri,Feb,44,22,13,3,4,10,304,29,2,NO,0.0,NO,normal,P3,All,11,0,NO
3535,Fri,Mar,65,21,6,3,6,62,327,90,4,NO,0.0,NO,normal,P3,All,5,0,YES
3535,Fri,Mar,65,22,6,3,1,48,329,90,4,NO,0.7,NO,normal,P3,All,5,0,YES
3534,Mon,Mar,61,20,2,3,4,10,321,32,23,NO,0.0,NO,normal,P3,All,10,0,NO
3537,Mon,Mar,75,21,16,3,4,10,218,32,1,NO,0.0,YES,enhancement,P2,All,9,1,YES
3536,Mon,Mar,68,20,9,3,5,58,331,31,3,NO,0.0,NO,enhancement,P4,All,7,0,YES
3539,Mon,Mar,89,21,30,3,4,10,357,91,25,NO,0.0,NO,major,P4,All,8,0,NO
