bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
127704,Thu,Sep,250,23,6,7,4,25,2690,73,75,YES,0.0,NO,Normal,P2,Unspecified,10,6,NO
107864,Thu,Feb,47,5,16,5,7,53,351,93,94,NO,0.0,NO,Normal,P2,Unspecified,5,1,NO
107864,Thu,Feb,47,6,16,5,14,25,352,93,94,NO,0.9,NO,Normal,P2,Unspecified,5,1,NO
127706,Mon,Jan,27,23,27,13,2,132,285,50,50,YES,0.0,NO,Normal,P2,All,7,10,NO
61533,Fri,Jun,154,20,3,10,1,4,168,9,8,YES,0.0,NO,Normal,P2,All,11,12,YES
107863,Thu,Feb,47,3,16,4,2,8,40,2,2,YES,0.0,NO,Enhancement,P2,Macintosh,11,4,YES
107863,Sat,Jan,26,16,26,13,8,174,11720,2,2,YES,13.0,NO,Enhancement,P2,Macintosh,11,4,YES
130643,Tue,Oct,283,1,9,7,2,17,262,71,75,NO,0.0,NO,Normal,P2,Unspecified,17,23,NO
130643,Wed,Oct,298,4,24,9,3,21,279,71,75,NO,8.5,NO,Normal,P2,Unspecified,17,23,NO
130643,Tue,Nov,318,21,13,10,2,18,72,71,75,YES,9.7,NO,Normal,P2,Unspecified,17,23,NO
120433,Fri,Jun,167,13,15,7,2,12,1014,21,22,YES,0.0,NO,Normal,P2,Unspecified,5,8,NO
113990,Fri,Apr,95,5,5,6,2,14,1813,140,94,YES,0.0,NO,Normal,P2,Unspecified,5,9,YES
75549,Wed,Jan,4,17,4,9,4,81,16,8,6520,YES,0.0,NO,Normal,P2,Unspecified,8,3,NO
100388,Mon,Oct,303,10,29,5,4,40,17,3,5,YES,0.0,NO,Normal,P2,Unspecified,4,7,YES
120127,Wed,Aug,233,19,21,3,4,38,834,30,28,YES,0.0,NO,Normal,P2,Unspecified,2,0,NO
114673,Fri,Apr,111,0,20,4,2,12,227,186,140,NO,0.0,NO,Normal,P2,Unspecified,11,9,NO
119460,Fri,Aug,214,22,2,6,12,94,820,18,15,YES,0.0,NO,Normal,P2,Unspecified,5,3,NO
82240,Thu,Mar,90,3,31,5,2,11,349,185,183,NO,0.0,NO,Normal,P2,Unspecified,9,3,NO
73548,Wed,Dec,342,22,8,7,1,8,208,813,6302,YES,0.0,NO,Normal,P2,All,18,0,NO
88623,Wed,Jun,165,21,13,15,4,268,7470,8,7,YES,0.0,NO,Normal,P2,Unspecified,14,17,NO
114674,Fri,Apr,111,0,20,2,3,42,228,66,1332,NO,0.0,NO,Normal,P2,Unspecified,9,6,NO
117412,Mon,May,142,8,21,10,5,782,7005,89,1704,YES,0.0,NO,Normal,P2,Unspecified,14,1,NO
55343,Tue,Jan,3,2,3,8,4,28,657,3,181,YES,0.0,NO,Trivial,P2,All,9,5,NO
95398,Thu,Aug,243,1,30,8,2,19,353,91,713,YES,0.0,NO,Normal,P2,Unspecified,7,5,NO
88158,Sat,Jun,154,1,2,8,2,29,100,351,71,YES,0.0,NO,Normal,P2,Unspecified,7,5,YES
82991,Tue,Apr,94,6,3,4,38,496,2496,538,561,YES,0.0,NO,Normal,P2,Unspecified,3,6,YES
98489,Fri,Oct,279,7,5,8,4,38,9721,41,28,YES,0.0,NO,Normal,P2,Unspecified,7,5,YES
96155,Tue,Sep,270,22,27,4,10,30,422,324,337,NO,0.0,NO,Normal,P2,Unspecified,6,9,NO
88393,Thu,Jun,160,14,9,7,2,13,477,85,80,YES,0.0,NO,Normal,P2,Unspecified,8,6,NO
43479,Mon,May,131,14,11,5,3,23,154,73,72,YES,0.0,NO,Normal,P2,All,10,3,NO
46136,Mon,Jul,201,23,20,7,2,7,69,20,4661,YES,0.0,NO,Normal,P2,PC,6,1,NO
34714,Fri,Feb,55,23,24,9,10,136,5678,1,77,YES,0.0,NO,Normal,P2,Macintosh Intel,8,8,NO
82228,Thu,Mar,89,18,29,8,31,361,6218,126,71,YES,0.0,NO,Normal,P2,Unspecified,7,12,YES
5856,Sun,Dec,338,0,4,10,3,156,16,9,10,YES,0.0,NO,Major,P2,Macintosh,9,3,NO
85591,Fri,May,125,14,4,13,2,39,12,329,300,YES,0.0,NO,Normal,P2,Unspecified,12,5,NO
85591,Fri,May,125,17,4,13,2,175,13,329,300,YES,2.1,NO,Normal,P2,Unspecified,12,5,NO
85591,Wed,May,130,20,9,13,2,26,17,329,300,YES,7.0,NO,Normal,P2,Unspecified,12,5,NO
85591,Thu,May,131,11,10,13,2,23,18,329,300,YES,7.2,NO,Normal,P2,Unspecified,12,5,NO
85591,Mon,May,135,5,14,13,2,12,20,329,300,YES,7.9,NO,Normal,P2,Unspecified,12,5,NO
85591,Mon,May,135,5,14,13,2,44,21,329,300,YES,7.9,NO,Normal,P2,Unspecified,12,5,NO
85591,Fri,May,146,5,25,13,2,46,29,329,300,YES,9.0,NO,Normal,P2,Unspecified,12,5,NO
85591,Tue,Jun,164,15,12,13,2,34,199,329,300,YES,9.9,NO,Normal,P2,Unspecified,12,5,NO
85591,Mon,Jul,184,17,2,13,2,68,55,329,300,YES,10.5,NO,Normal,P2,Unspecified,12,5,NO
120054,Tue,Jun,164,12,12,8,2,47,194,26,23,YES,0.0,NO,Normal,P2,Unspecified,7,0,NO
97152,Thu,Sep,264,0,20,11,3,164,935,386,418,YES,0.0,NO,Normal,P2,Unspecified,10,2,YES
97152,Thu,Sep,264,1,20,11,3,39,936,386,418,YES,0.3,NO,Normal,P2,Unspecified,10,2,YES
69880,Wed,Oct,285,0,12,12,2,19,109,425,375,YES,0.0,NO,Normal,P1,Unspecified,11,0,NO
51604,Sun,Jan,2,6,2,5,3905,1069534,1321,117,109,YES,0.0,NO,Normal,P2,Other,4,11,NO
97155,Thu,Sep,264,5,20,9,9,121,1463,973,778,YES,0.0,NO,Normal,P2,Unspecified,8,8,YES
98317,Tue,Oct,283,21,9,13,7,205,161,90,83,YES,0.0,NO,Normal,P2,Unspecified,11,15,YES
125758,Thu,Aug,229,13,16,4,2,16,8704,85,66,NO,0.0,NO,Normal,P2,Unspecified,9,0,NO
