bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
47800,Mon,Dec,335,15,1,3,6,79,832,2,962,YES,0.0,NO,normal,P3,PC,4,0,NO
108783,Tue,Sep,249,19,6,7,1,55,1560,6,40,NO,0.0,NO,normal,P3,PC,7,1,NO
108783,Fri,Sep,252,17,9,1,4,689,433,6,40,NO,6.2,NO,normal,P3,PC,7,1,NO
107124,Tue,Aug,228,20,16,5,2,9,1545,2,50,YES,0.0,NO,normal,P3,PC,3,0,NO
48489,Fri,Jan,16,17,16,3,1,15,896,1,976,YES,0.0,NO,enhancement,P3,PC,9,2,NO
48489,Fri,Jan,16,17,16,3,8,153,897,1,976,YES,0.0,NO,enhancement,P3,PC,9,2,NO
48489,Fri,Jan,16,17,16,5,2,132,898,1,976,YES,0.3,NO,enhancement,P3,PC,9,2,NO
87644,Mon,Mar,80,22,21,1,42,1805,97,200,773,NO,0.0,NO,normal,P3,PC,4,3,NO
87644,Tue,Mar,81,11,22,10,8,76,98,200,773,YES,3.8,NO,normal,P3,PC,4,3,NO
312326,Thu,May,133,0,13,5,2,9,2825,17,15,YES,0.0,NO,major,P3,All,5,5,NO
285124,Thu,Oct,274,17,1,5,4,71,2619,2,713,YES,0.0,NO,enhancement,P3,PC,4,8,NO
285124,Thu,Oct,274,18,1,5,1,14,2620,2,713,YES,0.7,NO,enhancement,P3,PC,4,8,NO
78698,Wed,Jan,5,16,5,5,11,184,1212,278,1168,YES,0.0,NO,minor,P3,PC,8,0,NO
78698,Wed,Jan,5,16,5,5,2,17,1213,278,1168,YES,0.1,NO,minor,P3,PC,8,0,NO
78160,Tue,Nov,314,17,9,10,1,2,1112,251,1162,YES,0.0,NO,normal,P3,PC,5,0,NO
83770,Thu,Feb,55,23,24,5,1,8,26,369,1243,YES,0.0,NO,normal,P3,PC,11,1,NO
258917,Mon,Jan,12,18,12,2,9,176,177,3,72,YES,0.0,NO,normal,P3,All,7,4,YES
258917,Mon,Jan,12,19,12,8,1,24,2460,3,72,YES,0.6,NO,normal,P3,All,7,4,YES
258917,Tue,Jan,13,15,13,9,1,4,2461,3,72,YES,4.5,NO,normal,P3,All,7,4,YES
258917,Tue,Jan,13,16,13,9,1,8,2462,3,72,YES,4.5,NO,normal,P3,All,7,4,YES
258917,Tue,Jan,13,18,13,9,1,2,2463,3,72,YES,4.6,NO,normal,P3,All,7,4,YES
258917,Wed,Jan,14,17,14,6,1,4,2464,3,72,NO,5.6,NO,normal,P3,All,7,4,YES
89848,Fri,Apr,91,15,1,1,2,8,98,375,616,NO,0.0,NO,major,P3,PC,13,2,NO
77325,Thu,Nov,309,10,4,1,2,36,11,4,436,NO,0.0,NO,normal,P3,PC,6,0,YES
23134,Tue,Jan,21,20,21,3,1,30,532,1,562,YES,0.0,NO,normal,P3,PC,5,2,YES
114894,Thu,Jun,166,10,15,1,14,1935,525,1,53,NO,0.0,NO,normal,P3,PC,5,2,NO
114894,Thu,Jun,166,16,15,1,3,148,526,1,53,NO,2.8,NO,normal,P3,PC,5,2,NO
262304,Mon,Jan,26,16,26,3,4,51,724,74,297,NO,0.0,NO,normal,P3,PC,10,1,NO
192875,Thu,Oct,291,6,18,3,9,116,242,23,90,NO,0.0,NO,normal,P2,PC,9,3,NO
106514,Thu,Aug,223,10,11,1,5,99,419,5,31,NO,0.0,NO,normal,P3,PC,8,2,NO
267046,Mon,Jun,173,13,22,5,3,1,2536,1,670,YES,0.0,NO,major,P3,PC,8,5,NO
28069,Wed,Dec,345,13,11,3,2,12,482,1,702,YES,0.0,NO,blocker,P2,PC,9,1,NO
171066,Tue,Jan,23,14,23,5,4,556,2090,17,395,YES,0.0,NO,normal,P3,PC,6,1,NO
171066,Tue,Jan,23,19,23,5,1,13,2091,17,395,YES,2.4,NO,normal,P3,PC,6,1,NO
23734,Mon,Sep,266,14,23,6,1,55,19,116,586,YES,0.0,NO,normal,P3,PC,9,1,NO
23734,Mon,Sep,266,16,23,6,1,43,20,116,586,YES,1.4,NO,normal,P3,PC,9,1,NO
23734,Mon,Sep,266,17,23,3,7,171,377,116,586,YES,2.0,NO,normal,P3,PC,9,1,NO
22358,Fri,Oct,298,18,25,3,152,2250,430,2,539,YES,0.0,NO,normal,P3,PC,6,0,NO
22358,Fri,Oct,298,18,25,3,1,79,431,2,539,YES,0.7,NO,normal,P3,PC,6,0,NO
22358,Fri,Oct,298,19,25,3,1,249,432,2,539,YES,1.4,NO,normal,P3,PC,6,0,NO
22358,Fri,Oct,298,20,25,3,1,353,433,2,539,YES,1.8,NO,normal,P3,PC,6,0,NO
22358,Mon,Oct,301,17,28,3,2,817,436,2,539,YES,6.2,NO,normal,P3,PC,6,0,NO
22358,Mon,Oct,301,17,28,7,1,100,437,2,539,YES,6.2,NO,normal,P3,PC,6,0,NO
55478,Wed,Mar,84,17,24,5,2,27,935,13,1028,YES,0.0,NO,normal,P3,PC,6,4,NO
79112,Wed,Oct,297,13,24,3,67,2856,549,25,730,NO,0.0,NO,enhancement,P2,All,7,37,YES
72683,Tue,Sep,258,11,14,1,3,18,335,21,691,NO,0.0,NO,major,P3,PC,6,2,NO
72683,Tue,Sep,258,13,14,4,1,45,336,21,691,YES,1.5,NO,major,P3,PC,6,2,NO
72683,Tue,Sep,258,14,14,9,1,31,337,21,691,YES,1.8,NO,major,P3,PC,6,2,NO
72683,Tue,Sep,258,14,14,9,1,16,338,21,691,YES,1.9,NO,major,P3,PC,6,2,NO
72683,Wed,Sep,259,10,15,1,2,70,339,21,691,NO,4.5,NO,major,P3,PC,6,2,NO
209996,Sun,Mar,83,16,23,3,23,1621,685,142,215,NO,0.0,NO,enhancement,P3,PC,15,4,NO
239972,Thu,Jul,192,15,10,3,1,2,777,1,296,NO,0.0,NO,normal,P3,PC,6,2,YES
87411,Sat,Mar,71,2,12,5,2,126,31,268,34,YES,0.0,NO,enhancement,P3,PC,4,2,NO
111350,Thu,Oct,286,16,13,9,5,274,200,1,19,NO,0.0,NO,normal,P3,PC,5,0,NO
126744,Wed,Feb,39,2,8,7,1,1045,1766,1,191,NO,0.0,YES,normal,P3,PC,11,0,NO
91542,Thu,Apr,118,13,28,1,2,33,133,32,625,NO,0.0,NO,normal,P3,PC,6,0,NO
130359,Thu,Mar,82,16,23,6,1,22,53,2,28,NO,0.0,NO,normal,P3,PC,7,0,NO
81556,Sat,Dec,360,13,25,1,44,1694,48,10,581,NO,0.0,NO,normal,P3,PC,8,0,NO
60848,Tue,May,125,21,4,5,1,71,981,1,1050,YES,0.0,NO,normal,P3,PC,6,0,YES
263877,Fri,Feb,37,0,6,8,1,19,2473,2,301,NO,0.0,NO,normal,P3,PC,7,9,NO
165662,Thu,Nov,327,18,23,6,1,158,2051,48,164,NO,0.0,NO,normal,P3,PC,8,3,NO
128962,Wed,Mar,81,16,22,10,1,32,49,1,25,NO,0.0,NO,normal,P3,PC,9,2,NO
88082,Mon,May,122,15,2,1,2,118,160,366,777,NO,0.0,NO,normal,P3,PC,8,0,YES
255974,Thu,Nov,325,15,20,5,8,232,2456,179,644,YES,0.0,NO,normal,P3,PC,7,1,NO
136231,Wed,Apr,102,3,12,5,1,2,1840,3,234,YES,0.0,NO,normal,P3,PC,3,1,NO
27204,Wed,Nov,331,15,27,4,2,22,464,4,681,NO,0.0,NO,major,P3,PC,17,1,NO
27204,Mon,Dec,336,13,2,3,1,4,467,4,681,NO,6.9,YES,major,P3,PC,17,1,NO
27204,Mon,Dec,336,13,2,3,1,8,468,4,681,NO,6.9,YES,major,P3,PC,17,1,NO
43587,Wed,Sep,267,17,24,1,1,7,37,60,412,NO,0.0,NO,normal,P3,PC,9,2,YES
43587,Tue,Jul,202,15,20,1,9,139,199,60,412,NO,12.8,NO,normal,P3,PC,9,2,YES
215638,Mon,Jan,21,10,21,3,6,22,590,76,1,NO,0.0,NO,enhancement,P3,PC,11,1,NO
215638,Mon,Jan,21,11,21,3,1,4,591,76,1,NO,0.9,NO,enhancement,P3,PC,11,1,NO
235781,Thu,Jun,157,9,5,17,2,171,307,82,11,YES,0.0,NO,normal,P3,PC,14,1,NO
98086,Thu,Jun,153,15,2,6,3,38,1456,221,1364,NO,0.0,NO,normal,P3,PC,8,0,NO
98086,Thu,Jun,153,15,2,6,1,67,1457,221,1364,NO,0.2,NO,normal,P3,PC,8,0,NO
117382,Mon,Nov,325,23,21,5,5,240,1656,4,143,YES,0.0,NO,normal,P3,PC,5,0,NO
210518,Wed,Nov,325,11,21,6,1,204,255,62,104,NO,0.0,NO,normal,P3,PC,6,6,NO
42366,Tue,Sep,245,15,2,11,2,25,189,146,411,YES,0.0,NO,normal,P3,PC,9,0,NO
